Postcode,PriceAddress,EpcAddress,JaroDistance,Price,PropertyType,New,Duration,CurrentEnergyRating,PotentialEnergyRating,CurrentEnergyEfficiency,PotentialEnergyEfficiency,GlazedArea,HabitableRooms,HeatedRooms,FlatStoreyCount,TotalFloorArea,FloorLevel,PurchaseDate_year,PurchaseDate_month,PurchaseDate_day_of_week,PurchaseDate_hour,EpcInspectionDate_year,EpcInspectionDate_month,EpcInspectionDate_day_of_week,EpcInspectionDate_hour
WV37AG,"75, JEFFCOCK ROAD, ","75 Jeffcock Road, ",0.99,200000,F,N,F,D,C,58,74,Normal,6.0,6.0,,130.0,NODATA!,2020,January,Thursday,0,2019,June,Saturday,0
WV46EE,"766, PARKFIELD ROAD, ","766, Parkfield Road, ",1.0,62000,F,N,L,D,C,61,73,Normal,3.0,3.0,,55.0,2nd,2020,February,Friday,0,2012,September,Thursday,0
WV148GX,"4A, CONSTANTINE WAY, ","4a, Constantine Way, ",1.0,221000,D,N,F,C,B,79,91,NO DATA!,,,,94.0,NO DATA!,2020,January,Friday,0,2015,September,Monday,0
WV111XD,"ST. CECILIA'S, FLAT 16, OKEMENT DRIVE, ","8 St. Cecilias, Okement Drive, ",0.75,34500,F,N,L,C,C,75,80,Normal,3.0,3.0,,74.0,2nd,2020,February,Thursday,0,2015,May,Wednesday,0
WV111XD,"ST. CECILIA'S, FLAT 14, OKEMENT DRIVE, ","4 St. Cecilias, Okement Drive, ",0.75,43000,F,N,L,C,B,78,83,Normal,3.0,3.0,,74.0,1st,2020,March,Tuesday,0,2015,May,Wednesday,0
WV68RP,"40, MANCROFT ROAD, ","40, Mancroft Road, ",1.0,176000,T,N,F,D,D,62,64,Normal,4.0,4.0,,78.8,NO DATA!,2020,March,Friday,0,2010,November,Monday,0
WV30HE,"60, DALTON STREET, ","64, Dalton Street, ",0.97,89100,T,N,F,D,B,62,82,Normal,5.0,5.0,,84.0,NODATA!,2020,July,Thursday,0,2016,May,Wednesday,0
WV106XG,"15, RENTON GROVE, ","15, Renton Grove, ",1.0,147000,T,N,F,F,C,33,73,Normal,5.0,2.0,,82.0,NODATA!,2020,April,Wednesday,0,2018,November,Tuesday,0
WV133ER,"5, FAWLEY CLOSE, ","5, Fawley Close, ",1.0,134000,S,N,F,C,B,71,88,Normal,4.0,4.0,,53.0,NODATA!,2020,March,Tuesday,0,2019,July,Saturday,0
WV95NH,"5, WHITBURN CLOSE, ","5, Whitburn Close, ",1.0,87500,S,N,F,E,C,42,79,Normal,3.0,2.0,,77.0,NODATA!,2020,March,Friday,0,2017,March,Friday,0
WV109AD,"44, PROLE STREET, ","44, Prole Street, ",1.0,108000,T,N,F,E,B,50,86,Normal,4.0,4.0,,75.0,NODATA!,2020,June,Friday,0,2017,April,Monday,0
WV21AW,"121, RABY STREET, ","121, Raby Street, ",1.0,141000,T,N,F,D,B,56,84,Normal,4.0,4.0,,115.0,NODATA!,2020,January,Friday,0,2012,October,Wednesday,0
WV14RR,"46, MOSTYN STREET, ","46, Mostyn Street, ",1.0,86000,T,N,F,D,C,63,80,Normal,4.0,4.0,,70.0,NODATA!,2020,February,Friday,0,2015,May,Tuesday,0
WV112PZ,"2, SOUTHALL ROAD, ","2, Southall Road, ",1.0,169000,S,N,F,C,B,71,84,Normal,6.0,6.0,,107.0,NODATA!,2020,April,Monday,0,2019,September,Thursday,0
WV30DT,"45, PENNANT COURT, ","45, Pennant Court, Penn Road, ",0.93,105000,F,N,L,F,C,35,73,Normal,3.0,3.0,,47.0,Ground,2020,July,Friday,0,2015,February,Wednesday,0
WV46SZ,"29, BEVERLEY CRESCENT, ","29, Beverley Crescent, ",1.0,186000,S,N,F,D,B,68,83,Normal,6.0,6.0,,100.0,NODATA!,2020,March,Friday,0,2019,September,Sunday,0
WV113JR,"67, LYNDALE DRIVE, ","67, Lyndale Drive, ",1.0,188000,S,N,F,C,B,71,86,Normal,4.0,4.0,,67.0,NODATA!,2020,May,Wednesday,0,2019,August,Thursday,0
WV30DS,"36B, OAKLANDS ROAD, ","6, Oaklands Road, ",0.97,155000,T,N,F,E,C,41,71,Normal,8.0,8.0,,155.0,NODATA!,2020,June,Friday,0,2018,August,Wednesday,0
WV133EJ,"48, HAWKSWELL DRIVE, ","48, Hawkswell Drive, ",1.0,129000,S,N,F,C,B,69,87,Normal,4.0,4.0,,54.0,NODATA!,2020,June,Friday,0,2020,January,Thursday,0
WV106FD,"1, OHIO GARDENS, ","1, Ohio Gardens, ",1.0,237500,D,N,F,C,B,80,89,NO DATA!,,,,102.0,NO DATA!,2020,June,Friday,0,2017,March,Friday,0
WV106FD,"11, OHIO GARDENS, ","11, Ohio Gardens, ",1.0,165600,T,N,F,B,A,83,94,NO DATA!,,,,85.0,NO DATA!,2020,March,Friday,0,2017,May,Thursday,0
WV60XA,"31, HAMBROOK CLOSE, ","31, Hambrook Close, ",1.0,120000,S,N,L,C,B,72,88,Normal,5.0,5.0,,59.0,NODATA!,2020,February,Friday,0,2019,September,Friday,0
WV106BZ,"12, RANGER DRIVE, ","12, Ranger Drive, ",1.0,239995,D,N,F,C,C,79,80,NO DATA!,,,,109.0,NO DATA!,2020,June,Tuesday,0,2014,February,Thursday,0
WV106BZ,"88, RANGER DRIVE, ","88, Ranger Drive, ",1.0,209500,S,N,F,B,B,81,90,NO DATA!,,,,122.0,NO DATA!,2020,April,Wednesday,0,2017,February,Thursday,0
WV69NG,"84, LYNTON AVENUE, ","84, Lynton Avenue, ",1.0,189950,S,N,F,D,D,63,67,Normal,6.0,6.0,,110.1,NO DATA!,2020,April,Wednesday,0,2009,November,Friday,0
WV113JA,"5, ASHERIDGE CLOSE, ","5, Asheridge Close, ",1.0,167000,S,N,F,B,B,88,89,NO DATA!,,,,79.0,NO DATA!,2020,March,Wednesday,0,2014,October,Friday,0
WV140LL,"48A, HIMLEY CLOSE, ","48a Himley Close, ",0.99,203000,S,N,F,B,B,83,83,NO DATA!,,,,88.0,NO DATA!,2020,May,Friday,0,2012,December,Tuesday,0
WV46RX,"52, BIRMINGHAM NEW ROAD, ","52, Birmingham New Road, ",1.0,178500,S,N,F,D,B,62,82,Normal,5.0,5.0,,106.0,NODATA!,2020,July,Monday,0,2020,January,Tuesday,0
WV46SU,"78, KENILWORTH CRESCENT, ","78, Kenilworth Crescent, Parkfields, ",0.94,74000,F,N,L,C,C,78,78,Normal,3.0,3.0,,67.0,1st,2020,January,Friday,0,2020,January,Saturday,0
WV46QL,"91, FARRINGTON ROAD, ","91, Farrington Road, ",1.0,228000,S,N,F,D,B,68,82,Normal,5.0,5.0,,87.0,NODATA!,2020,May,Friday,0,2019,August,Friday,0
WV46QL,"164D, FARRINGTON ROAD, ","164d, Farrington Road, ",1.0,106500,F,N,L,C,C,80,80,Normal,4.0,4.0,,55.0,1st,2020,June,Friday,0,2020,April,Thursday,0
WV45SD,"133, MOUNT ROAD, ","133, Mount Road, Penn, ",0.95,297000,D,N,F,G,C,1,75,Normal,6.0,0.0,,138.0,NODATA!,2020,April,Friday,0,2020,March,Tuesday,0
WV109PT,"108, OLD FALLINGS CRESCENT, ","108, Old Fallings Crescent, ",1.0,80000,T,N,F,C,B,69,83,Normal,4.0,4.0,,77.0,NODATA!,2020,January,Wednesday,0,2012,December,Monday,0
WV146JR,"32A, BUNKERS HILL LANE, ","32a, Bunkers Hill Lane, ",1.0,70000,F,N,L,D,C,67,73,Normal,1.0,1.0,,49.0,Ground,2020,February,Friday,0,2018,June,Monday,0
WV146JR,"56, BUNKERS HILL LANE, ","56, Bunkers Hill Lane, ",1.0,250000,D,N,F,E,E,53,54,Normal,5.0,5.0,,98.36,NO DATA!,2020,July,Friday,0,2010,November,Thursday,0
WV22BF,"23, KIRKWALL CRESCENT, ","23, Kirkwall Crescent, ",1.0,127000,S,N,F,C,A,79,94,NO DATA!,,,,51.0,NO DATA!,2020,February,Thursday,0,2015,October,Wednesday,0
WV106US,"38, RAKEGATE CLOSE, ","38, Rakegate Close, ",1.0,190000,D,N,F,B,B,82,82,NO DATA!,,,,83.0,NO DATA!,2020,February,Friday,0,2012,September,Monday,0
WV106US,"22, RAKEGATE CLOSE, ","22, Rakegate Close, ",1.0,235000,D,N,F,B,B,83,83,NO DATA!,,,,97.0,NO DATA!,2020,March,Friday,0,2011,October,Monday,0
WV60AR,"196, SWEETMAN STREET, ","196, Sweetman Street, ",1.0,87000,T,N,F,D,C,60,77,Normal,4.0,4.0,,70.0,NODATA!,2020,May,Thursday,0,2016,August,Thursday,0
WV68ND,"91, WOODLAND AVENUE, ","91, Woodland Avenue, ",1.0,260000,S,N,F,D,B,60,81,Normal,5.0,5.0,,96.0,NODATA!,2020,February,Tuesday,0,2019,September,Monday,0
WV23HW,"94, WANDERERS AVENUE, ","94, Wanderers Avenue, ",1.0,117000,T,N,F,D,B,68,86,Normal,5.0,5.0,,109.0,NODATA!,2020,January,Friday,0,2019,December,Monday,0
WV148AZ,"16, DALEY ROAD, ","16, Daley Road, ",1.0,128000,T,N,F,C,B,69,85,Normal,4.0,4.0,,67.0,NODATA!,2020,March,Friday,0,2019,October,Wednesday,0
WV106XF,"186A, RENTON ROAD, ","186a, Renton Road, ",1.0,62500,F,N,L,C,C,73,74,Normal,2.0,2.0,,47.0,1st,2020,January,Tuesday,0,2020,May,Friday,0
WV109SQ,"106, HAWKSFORD CRESCENT, ","106, Hawksford Crescent, ",1.0,95000,S,N,F,E,B,51,82,Normal,4.0,4.0,,62.0,NODATA!,2020,July,Monday,0,2015,June,Thursday,0
WV60NR,"156, DUNSTALL ROAD, ","156, Dunstall Road, ",1.0,190000,S,N,F,D,D,56,59,Normal,9.0,9.0,,209.01,NODATA!,2020,July,Friday,0,2011,April,Thursday,0
WV68PH,"10, HIGH MEADOWS, ","10, High Meadows, ",1.0,352500,S,N,F,E,E,39,54,Normal,7.0,7.0,,162.0,NODATA!,2020,March,Friday,0,2019,July,Tuesday,0
WV45LY,"12, BUTTONS FARM ROAD, ","12, Buttons Farm Road, ",1.0,325000,D,N,F,E,E,48,52,Normal,6.0,6.0,,127.34,NO DATA!,2020,January,Monday,0,2010,February,Thursday,0
WV60PB,"52, GORSEBROOK ROAD, ","52, Gorsebrook Road, ",1.0,86250,T,N,F,C,B,70,88,Normal,5.0,5.0,,77.0,NODATA!,2020,February,Friday,0,2015,January,Saturday,0
WV12BH,"54, DEANS ROAD, ","54, Deans Road, ",1.0,117100,S,N,F,D,B,57,82,Normal,5.0,5.0,,73.0,NODATA!,2020,April,Friday,0,2019,December,Friday,0
WV113UA,"55, YALE DRIVE, ","55, Yale Drive, Wednesfield, ",0.91,172000,S,N,F,C,B,71,85,Normal,6.0,6.0,,75.0,NODATA!,2020,February,Thursday,0,2014,April,Tuesday,0
WV60LH,"39, NEWBRIDGE CRESCENT, ","39, Newbridge Crescent, ",1.0,490000,D,N,F,E,C,47,74,Normal,6.0,6.0,,206.0,NODATA!,2020,February,Tuesday,0,2019,June,Friday,0
WV69DT,"43, CONISTON ROAD, ","43, Coniston Road, ",1.0,230000,S,N,F,C,B,71,83,Normal,5.0,5.0,,93.0,NODATA!,2020,June,Monday,0,2020,February,Saturday,0
WV24NU,"24, UPPER VILLIERS STREET, ","24, Upper Villiers Street, ",1.0,145000,S,N,F,C,B,70,86,Normal,5.0,5.0,,84.0,NODATA!,2020,February,Tuesday,0,2013,February,Saturday,0
WV109PQ,"44, THIRD AVENUE, ","44, Third Avenue, ",1.0,102000,T,N,F,D,B,62,86,Normal,5.0,5.0,,75.0,NODATA!,2020,June,Friday,0,2019,September,Saturday,0
WV113NE,"89, STUBBY LANE, ","89, Stubby Lane, ",1.0,140000,S,N,L,D,C,60,79,Normal,5.0,5.0,,92.0,NODATA!,2020,February,Friday,0,2019,October,Wednesday,0
WV109HE,"29, ELSTON HALL LANE, ","29, Elston Hall Lane, ",1.0,165000,S,N,F,D,B,59,83,Normal,4.0,4.0,,82.0,NODATA!,2020,February,Friday,0,2019,October,Wednesday,0
WV148QN,"39, SORREL DRIVE, ","39, Sorrel Drive, ",1.0,145000,T,N,F,B,A,82,96,NO DATA!,,,,64.0,NO DATA!,2020,April,Wednesday,0,2018,February,Wednesday,0
WV106GG,"31, CROFT GARDENS, ","31, Croft Gardens, ",1.0,181500,S,N,F,B,A,84,96,NO DATA!,,,,77.0,NO DATA!,2020,June,Friday,0,2016,November,Wednesday,0
WV106GG,"12, CROFT GARDENS, ","12, Croft Gardens, ",1.0,185000,S,N,F,B,A,84,96,NO DATA!,,,,77.0,NO DATA!,2020,March,Friday,0,2016,May,Tuesday,0
WV100EG,"42, BURTON ROAD, ","42, Burton Road, ",1.0,107000,T,N,F,D,B,67,83,Normal,3.0,3.0,,64.0,NODATA!,2020,January,Friday,0,2018,June,Thursday,0
WV106LH,"73, COTTAGE LANE, ","73, Cottage Lane, ",1.0,183000,T,N,F,E,C,53,80,Normal,6.0,6.0,,126.0,NODATA!,2020,June,Tuesday,0,2019,May,Thursday,0
WV109EL,"22, STANLEY ROAD, ","22, Stanley Road, ",1.0,138000,T,N,F,C,B,74,87,Normal,3.0,3.0,,65.0,NODATA!,2020,June,Tuesday,0,2020,June,Thursday,0
WV100AZ,"81, BROAD GAUGE WAY, ","81, Broad Gauge Way, ",1.0,110000,F,N,L,C,C,70,71,NO DATA!,,,,63.0,ground floor,2020,April,Tuesday,0,2012,April,Tuesday,0
WV100AZ,"72, BROAD GAUGE WAY, ","72, Broad Gauge Way, ",1.0,105000,F,N,L,C,C,79,80,NO DATA!,,,,62.0,mid floor,2020,March,Friday,0,2012,May,Friday,0
WV30RJ,"32, MERRIDALE STREET WEST, ","32, Merridale Street West, ",1.0,96000,T,N,F,D,B,61,83,Normal,5.0,5.0,,87.0,NODATA!,2020,March,Monday,0,2019,November,Tuesday,0
WV147BS,"7, WRENBURY DRIVE, ","7, Wrenbury Drive, ",1.0,125000,T,N,L,C,C,78,79,Normal,3.0,3.0,,56.16,NO DATA!,2020,March,Monday,0,2010,September,Wednesday,0
WV45TA,"28, WHITEHALL ROAD, ","28, Whitehall Road, ",1.0,194000,S,N,F,D,B,68,85,Normal,5.0,5.0,,83.0,NODATA!,2020,February,Friday,0,2018,November,Monday,0
WV46AR,"434, WOLVERHAMPTON ROAD EAST, ","434, Wolverhampton Road East, ",1.0,190000,S,N,F,D,B,57,82,Normal,6.0,6.0,,94.0,NODATA!,2020,February,Friday,0,2019,July,Monday,0
WV95RA,"43, WEYHILL CLOSE, ","43, Weyhill Close, ",1.0,63000,F,N,L,D,C,64,70,Normal,2.0,2.0,,31.0,Ground,2020,March,Friday,0,2015,February,Tuesday,0
WV95RA,"54, WEYHILL CLOSE, ","54, Weyhill Close, ",1.0,97000,T,N,F,D,B,62,86,Normal,2.0,2.0,,44.0,NODATA!,2020,February,Friday,0,2019,October,Friday,0
WV68JW,"31, KINFARE DRIVE, ","31, Kinfare Drive, ",1.0,120000,F,N,L,C,C,72,75,Normal,3.0,3.0,,72.0,Ground,2020,June,Friday,0,2013,August,Thursday,0
WV38DZ,"89, BHYLLS LANE, ","89, Bhylls Lane, ",1.0,179000,S,N,F,E,B,46,83,Normal,4.0,4.0,,71.0,NODATA!,2020,May,Thursday,0,2012,April,Thursday,0
WV38DZ,"83, BHYLLS LANE, ","83, Bhylls Lane, ",1.0,130000,S,N,F,D,B,65,84,Normal,3.0,3.0,,72.0,NODATA!,2020,January,Thursday,0,2019,November,Monday,0
WV38DZ,"81, BHYLLS LANE, ","81, Bhylls Lane, ",1.0,185000,S,N,F,C,B,69,84,Normal,3.0,3.0,,68.0,NODATA!,2020,March,Monday,0,2019,September,Thursday,0
WV38DZ,"77, BHYLLS LANE, ","77, Bhylls Lane, ",1.0,183900,F,N,F,D,B,67,86,Normal,4.0,4.0,,79.0,NODATA!,2020,June,Friday,0,2019,December,Wednesday,0
WV113RR,"38, COLMAN AVENUE, ","38, Colman Avenue, ",1.0,156000,S,N,F,E,B,53,84,Normal,5.0,5.0,,90.0,NODATA!,2020,May,Friday,0,2019,November,Tuesday,0
WV113RR,"8, COLMAN AVENUE, ","8, Colman Avenue, ",1.0,150000,T,N,F,E,B,51,81,Normal,4.0,4.0,,86.0,NODATA!,2020,May,Monday,0,2020,January,Sunday,0
WV106GB,"53, COLUMBIA CRESCENT, ","53, Columbia Crescent, ",1.0,163000,S,N,F,C,A,79,92,NO DATA!,,,,71.0,NO DATA!,2020,March,Wednesday,0,2014,December,Thursday,0
WV68BP,"11, SABRINA ROAD, ","11, Sabrina Road, ",1.0,300000,D,N,F,D,B,66,82,Normal,4.0,4.0,,84.0,NODATA!,2020,January,Tuesday,0,2019,October,Wednesday,0
WV108AQ,"20, PRIMROSE AVENUE, ","20, Primrose Avenue, ",1.0,125000,T,N,F,C,B,72,84,Normal,5.0,5.0,,94.0,NODATA!,2020,February,Monday,0,2019,June,Friday,0
WV38BA,"89, FINCHFIELD ROAD WEST, ","89, Finchfield Road West, ",1.0,350000,D,N,F,D,C,68,79,Normal,5.0,5.0,,103.0,NODATA!,2020,May,Friday,0,2019,October,Wednesday,0
WV112PU,"10, NEWEY ROAD, ","10, Newey Road, ",1.0,125000,S,N,F,D,C,62,78,Normal,3.0,3.0,,67.0,NODATA!,2020,June,Thursday,0,2020,January,Wednesday,0
WV146AH,"25, WELLINGTON ROAD, ","13, Wellington Road, ",0.94,185000,D,N,F,E,C,52,76,Normal,8.0,8.0,,289.0,NODATA!,2020,February,Thursday,0,2012,December,Friday,0
WV22DL,"124, MYATT AVENUE, ","124, Myatt Avenue, ",1.0,110000,T,N,F,D,B,58,87,Normal,5.0,4.0,,74.0,NODATA!,2020,January,Friday,0,2014,January,Thursday,0
WV30HG,"10, MANLOVE STREET, ","10, Manlove Street, ",1.0,85000,T,N,F,E,C,50,75,Normal,5.0,5.0,,88.0,NODATA!,2020,March,Friday,0,2019,January,Wednesday,0
WV111NW,"82, WOOD END ROAD, ","82, Wood End Road, ",1.0,90000,T,N,F,F,C,28,80,Normal,5.0,2.0,,83.0,NODATA!,2020,July,Tuesday,0,2020,January,Friday,0
WV12SG,"62, BURCOT AVENUE, ","62, Burcot Avenue, ",1.0,156000,S,N,F,E,C,53,75,Normal,5.0,5.0,,94.0,NODATA!,2020,June,Friday,0,2012,April,Tuesday,0
WV39JW,"53, GLEN COURT, ","53, Glen Court, ",1.0,219950,S,N,F,C,B,70,83,Normal,6.0,6.0,,101.0,NODATA!,2020,March,Monday,0,2019,August,Thursday,0
WV106NN,"562, STAFFORD ROAD, ","562, Stafford Road, ",1.0,170000,S,N,F,D,C,67,80,Normal,6.0,6.0,,116.0,NODATA!,2020,June,Friday,0,2019,September,Wednesday,0
WV109YA,"31, HALLAM CRESCENT, ","31, Hallam Crescent, ",1.0,140000,T,N,F,D,B,65,88,Normal,4.0,4.0,,67.0,NODATA!,2020,January,Friday,0,2019,November,Friday,0
WV106LA,"6, ATLAS CROFT, ","6, Atlas Croft, ",1.0,95000,T,N,L,D,B,62,83,Normal,3.0,3.0,,44.0,NODATA!,2020,May,Friday,0,2014,October,Saturday,0
WV44DS,"20, LINTON ROAD, ","20, Linton Road, ",1.0,271500,S,N,F,D,C,61,72,Normal,5.0,5.0,,110.0,NODATA!,2020,February,Friday,0,2019,September,Thursday,0
WV22DT,"3, ROOKER AVENUE, ","3, Rooker Avenue, ",1.0,115000,S,N,F,D,C,57,80,Normal,5.0,5.0,,86.0,NODATA!,2020,April,Friday,0,2014,February,Wednesday,0
WV22BJ,"58, DIXON STREET, ","58, Dixon Street, ",1.0,87500,S,N,F,D,B,58,86,Normal,7.0,7.0,,84.0,NODATA!,2020,May,Wednesday,0,2019,December,Tuesday,0
WV39AE,"7, OAK HILL, ","7, Oak Hill, ",1.0,212500,T,N,F,D,B,63,81,Normal,5.0,5.0,,110.0,NODATA!,2020,January,Thursday,0,2019,March,Thursday,0
WV39AE,"13, OAK HILL, ","31, Oak Hill, ",0.98,170000,S,N,F,D,B,55,87,Normal,4.0,4.0,,66.0,NODATA!,2020,January,Wednesday,0,2013,August,Monday,0
WV109NA,"67, HUMPHRIES ROAD, ","67, Humphries Road, ",1.0,81000,F,N,L,B,B,82,82,Normal,2.0,2.0,,60.0,1st,2020,February,Monday,0,2019,April,Friday,0
WV46PQ,"20, WARD GROVE, ","20, Ward Grove, ",1.0,142000,T,N,F,C,B,76,89,Normal,4.0,4.0,,71.0,NODATA!,2020,February,Friday,0,2012,September,Thursday,0
